              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      1.6750000      0.0000000      0.3286450      0.3326472      1.3101616      1.3259034      2.0488309      2.2212071      2.9549028      2.9636747      5.2141415      5.2261871      7.8124505      7.9760907      8.4172404      8.5809275     11.6303715     11.6047595     15.4698859     15.4787326     17.8304225     17.9446915
      1.7000000      0.0000000      0.3286450      0.3326895      1.3101616      1.3257641      2.0488309      2.2153196      2.9549028      2.9626356      5.2141415      5.2272435      7.8124505      7.9776247      8.4172404      8.5804274     11.6303715     11.6072817     15.4698859     15.4855147     17.8304225     17.9615433
      1.7250000      0.0000000      0.3286450      0.3327311      1.3101616      1.3256120      2.0488309      2.2092190      2.9549028      2.9615822      5.2141415      5.2282571      7.8124505      7.9783522      8.4172404      8.5790688     11.6303715     11.6099717     15.4698859     15.4921457     17.8304225     17.9769338
      1.7500000      0.0000000      0.3286450      0.3327718      1.3101616      1.3254472      2.0488309      2.2029129      2.9549028      2.9605165      5.2141415      5.2292248      7.8124505      7.9782697      8.4172404      8.5768589     11.6303715     11.6128100     15.4698859     15.4985615     17.8304225     17.9906916
      1.7750000      0.0000000      0.3286450      0.3328116      1.3101616      1.3252700      2.0488309      2.1964096      2.9549028      2.9594405      5.2141415      5.2301433      7.8124505      7.9773774      8.4172404      8.5738093     11.6303715     11.6157760     15.4698859     15.5047000     17.8304225     18.0026634
      1.8000000      0.0000000      0.3286450      0.3328506      1.3101616      1.3250803      2.0488309      2.1897173      2.9549028      2.9583560      5.2141415      5.2310096      7.8124505      7.9756799      8.4172404      8.5699360     11.6303715     11.6188481     15.4698859     15.5105019     17.8304225     18.0127157
      1.8250000      0.0000000      0.3286450      0.3328887      1.3101616      1.3248785      2.0488309      2.1828446      2.9549028      2.9572652      5.2141415      5.2318210      7.8124505      7.9731854      8.4172404      8.5652593     11.6303715     11.6220039     15.4698859     15.5159111     17.8304225     18.0207365
      1.8500000      0.0000000      0.3286450      0.3329259      1.3101616      1.3246646      2.0488309      2.1758002      2.9549028      2.9561700      5.2141415      5.2325747      7.8124505      7.9699060      8.4172404      8.5598040     11.6303715     11.6252206     15.4698859     15.5208754     17.8304225     18.0266365
      1.8750000      0.0000000      0.3286450      0.3329623      1.3101616      1.3244388      2.0488309      2.1685933      2.9549028      2.9550725      5.2141415      5.2332684      7.8124505      7.9658578      8.4172404      8.5535987     11.6303715     11.6284747     15.4698859     15.5253466     17.8304225     18.0303498
      1.9000000      0.0000000      0.3286450      0.3329978      1.3101616      1.3242014      2.0488309      2.1612331      2.9549028      2.9539747      5.2141415      5.2338998      7.8124505      7.9610606      8.4172404      8.5466761     11.6303715     11.6317426     15.4698859     15.5292816     17.8304225     18.0318352
      1.9250000      0.0000000      0.3286450      0.3330324      1.3101616      1.3239524      2.0488309      2.1537288      2.9549028      2.9528786      5.2141415      5.2344668      7.8124505      7.9555377      8.4172404      8.5390725     11.6303715     11.6350005     15.4698859     15.5326423     17.8304225     18.0310760
      1.9500000      0.0000000      0.3286450      0.3330660      1.3101616      1.3236921      2.0488309      2.1460903      2.9549028      2.9517862      5.2141415      5.2349675      7.8124505      7.9493162      8.4172404      8.5308280     11.6303715     11.6382248     15.4698859     15.5353962     17.8304225     18.0280807
      1.9750000      0.0000000      0.3286450      0.3330988      1.3101616      1.3234208      2.0488309      2.1383272      2.9549028      2.9506996      5.2141415      5.2354004      7.8124505      7.9424263      8.4172404      8.5219859     11.6303715     11.6413920     15.4698859     15.5375167     17.8304225     18.0228827
      2.0000000      0.0000000      0.3286450      0.3331307      1.3101616      1.3231386      2.0488309      2.1304496      2.9549028      2.9496207      5.2141415      5.2357639      7.8124505      7.9349019      8.4172404      8.5125928     11.6303715     11.6444790     15.4698859     15.5389834     17.8304225     18.0155400
      2.0250000     20.0000000      0.3286450      0.3331616      1.3101616      1.3228458      2.0488309      2.1224674      2.9549028      2.9485516      5.2141415      5.2360571      7.8124505      7.9267795      8.4172404      8.5026981     11.6303715     11.6474636     15.4698859     15.5397819     17.8304225     18.0061343
      2.0500000     20.0000000      0.3286450      0.3332481      1.3101616      1.3227011      2.0488309      2.1153114      2.9549028      2.9474148      5.2141415      5.2365527      7.8124505      7.9195280      8.4172404      8.4934220     11.6303715     11.6505375     15.4698859     15.5407784     17.8304225     17.9969668
      2.0750000     20.0000000      0.3286450      0.3333911      1.3101616      1.3227030      2.0488309      2.1089012      2.9549028      2.9461983      5.2141415      5.2372555      7.8124505      7.9130921      8.4172404      8.4846974     11.6303715     11.6537169     15.4698859     15.5419756     17.8304225     17.9880252
